"file","Ftrgt","Btrigger","HCR","TACconstr","BB","catch_long","catch_short","catch_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium"
"HCR-B_Ftrgt-0.1_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.1,110000,"B",FALSE,FALSE,35854.1137,18700.5098,32009.93,0.01035,0,0.0414,0,0,0.185,0,0.088552762583179,0.662203230392444,0.108348625722
"HCR-B_Ftrgt-0.1_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.1,130000,"B",FALSE,FALSE,35861.786,18477.0296,32066.418,0.01015,0,0.0406,0,0,0.185,0,0.088726489958864,0.70025280633831,0.107812093480953
"HCR-B_Ftrgt-0.1_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.1,150000,"B",FALSE,FALSE,35872.4489,18200.2766,32138.7756,0.01005,0,0.0402,0,0,0.185,0,0.0888327396271692,0.748275132108911,0.107249548929856
"HCR-B_Ftrgt-0.1_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.1,170000,"B",FALSE,FALSE,35882.4484,17955.5166,32206.2628,0.01005,0,0.0402,0,0,0.185,0,0.0889643958669934,0.791612247857947,0.106703267431861
"HCR-B_Ftrgt-0.1_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.1,190000,"B",FALSE,FALSE,35892.6915,17736.3034,32266.1042,0.00995,0,0.0398,0,0,0.185,0,0.0890927459083549,0.826394393286266,0.106258909414392
"HCR-B_Ftrgt-0.2_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.2,110000,"B",FALSE,FALSE,49512.8991,31889.1656,47353.6152,0.012,0,0.048,0,0,0.185,0,0.107441980282754,0.543628110667346,0.115953882383734
"HCR-B_Ftrgt-0.2_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.2,130000,"B",FALSE,FALSE,49526.9307,31689.8006,47427.5598,0.01155,0,0.0462,0,0,0.185,0,0.107836774327582,0.58302050256887,0.115489665674053
"HCR-B_Ftrgt-0.2_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.2,150000,"B",FALSE,FALSE,49545.2344,31403.4882,47551.198,0.0113,0,0.0452,0,0,0.185,0,0.108330925216077,0.628949315000448,0.1149920026043
"HCR-B_Ftrgt-0.2_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.2,170000,"B",FALSE,FALSE,49562.6127,31109.5924,47681.7926,0.0108,0,0.0432,0,0,0.185,0,0.108921084183302,0.670797182420418,0.115006631983544
"HCR-B_Ftrgt-0.2_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.2,190000,"B",FALSE,FALSE,49574.8852,30810.8458,47805.6028,0.01065,0,0.0426,0,0,0.185,0,0.109979176413581,0.705798609058595,0.115897864172236
"HCR-B_Ftrgt-0.3_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.3,110000,"B",FALSE,FALSE,53966.5978,41401.0102,53781.2266,0.02005,0.0061,0.0626,0.0054,0.008,0.185,0.006,0.136687332019822,0.493460634647376,0.1427870892604
"HCR-B_Ftrgt-0.3_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.3,130000,"B",FALSE,FALSE,53979.0322,41300.962,53826.3138,0.01825,0.0058,0.0556,0.0058,0.008,0.185,0.008,0.138339823348039,0.507290985961242,0.140988858596061
"HCR-B_Ftrgt-0.3_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.3,150000,"B",FALSE,FALSE,53976.7323,41071.6692,53905.008,0.01605,0.0046,0.0508,0.0042,0.007,0.185,0.005,0.143427696832189,0.539195839335835,0.142484946471315
"HCR-B_Ftrgt-0.3_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.3,170000,"B",FALSE,FALSE,53931.1507,40783.2258,53912.3922,0.0145,0.0033,0.0488,0.0026,0.007,0.185,0.004,0.154235320115292,0.574770165224508,0.150029951601017
"HCR-B_Ftrgt-0.3_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.3,190000,"B",FALSE,FALSE,53813.4102,40446.3574,53785.964,0.013,0.0016,0.0466,0.0022,0.004,0.185,0.004,0.169541097474843,0.605530975431765,0.161721420366587
"HCR-B_Ftrgt-0.35_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.35,110000,"B",FALSE,FALSE,54605.6814,45165.529,54842.5874,0.04175,0.0307,0.0792,0.0264,0.036,0.185,0.03,0.213474381841732,0.493250587927724,0.192702466083326
"HCR-B_Ftrgt-0.35_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.35,130000,"B",FALSE,FALSE,54607.3089,45094.885,54848.5598,0.03735,0.0281,0.0672,0.026,0.031,0.185,0.029,0.210639913490621,0.499605518540181,0.186665229220633
"HCR-B_Ftrgt-0.35_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.35,150000,"B",FALSE,FALSE,54565.0511,44883.0462,54816.3348,0.03065,0.0223,0.0566,0.0214,0.027,0.185,0.023,0.207654228118786,0.512122040927749,0.19144166069198
"HCR-B_Ftrgt-0.35_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.35,170000,"B",FALSE,FALSE,54508.6804,44593.7174,54587.2796,0.0257,0.0169,0.0532,0.0158,0.022,0.185,0.017,0.213925488199147,0.537522799529575,0.200337311404242
"HCR-B_Ftrgt-0.35_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.35,190000,"B",FALSE,FALSE,54413.5902,44210.5562,54223.9018,0.02045,0.0112,0.0494,0.01,0.015,0.185,0.014,0.224199651963751,0.567789455476841,0.214436049870788
"HCR-B_Ftrgt-0.37_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.37,110000,"B",FALSE,FALSE,54693.6622,46472.4086,54997.8692,0.0549,0.0462,0.0868,0.0404,0.054,0.185,0.044,0.269203139250024,0.507522176216108,0.23496108764417
